Twitter ID,Week#,Tweets,"1=postive, 2=N, 3=Negative, 0=unknown","EmotionCode (1= Anger/insult/dogmatic/judgemental2= fear/stressed out/depressed/sad/bummed out/embarrassed, 3= loving/kind/supportive/inspired/helpful/longing/hopeful, 4 = happy/joking/excited/turned on 5= Neutral,statement 0 = don't know/not relevant/sarcastic without enough info on emotion","Emotion Intensity (0=unknown/not relvant 1= no emotion, 2 = some emotion, 3= extremely intense)",950
_nicolenaranjo,3,@_jimmz well @jenniferyeji just ratted you out! I am calling UCPD.,2,5,0,
daisyarriaga1,2,@_Maarriissooll @azelhh thanks y'all  of the positive vibes:)  alright then  goodnight have an amazing day tomorrow at school!!,1,3,2,
daisyarriaga1,3,@_Maarriissooll now i can't wait to hear it goodnight boo!!!,1,4,2,
_nicolenaranjo,7,@_marilLuna #same #but #i #still #got #time #4 #u,1,3,2,
_nicolenaranjo,7,@_marilLuna FaceTime me,1,3,2,
_nicolenaranjo,4,@_marilLuna follow my finsta mami @eddneddyy did ????,2,5,0,
sgbrandonn,5,@_nicolenaranjo @_jimmz nothing new ha,2,5,0,
sgbrandonn,0,@_nicolenaranjo @nancyh_22 ????,0,0,0,
sgbrandonn,3,@_nicolenaranjo \x9f\x9d???\x8f\x9f\x9d???\x8f you're a lowkey Mets fan,2,5,0,
sgbrandonn,3,@_nicolenaranjo \x9f\x9d???\x8f\x9f\x9d???\x8f you're a lowkey Mets fan,2,5,0,
sgbrandonn,3,@_nicolenaranjo GO METS!!!???\x9d???\x8d???\x8f???????\x8f,1,4,2,
sgbrandonn,3,@_nicolenaranjo U DONT KNOW ME,2,5,2,
rickyterriquez,0,@alaynarmendariz closets aren't that bad! I lived in one until 10th grade,2,5,0,
rickyterriquez,5,@alaynarmendariz y'all suck ass,3,1,2,
macklork,5,@alexa_wexa @BabyAnimalGifs us ????????????????????,0,0,0,
macklork,8,@allanaproblems RT,0,0,0,
macklork,4,@allisondaviddd ????????????????????????,0,0,0,
rickyterriquez,7,@alyssa_quin thank you beautiful ????\x9f\x9d???\x8f I miss you and all your positivity so much! And congratulations on your 3 year anniversary!\x9f????\x8f,1,3,3,
rickyterriquez,7,@alyssa_quin thank you beautiful ????\x9f\x9d???\x8f I miss you and all your positivity so much! And congratulations on your 3 year anniversary!\x9f????\x8f,1,3,3,
theaaliyahsade,3,@Aman_Speaking omg really\t how did it go?,2,5,0,
pppnguyener,2,@angelaa_trannn LOL OOPS ????,0,0,0,
rickyterriquez,5,@anisarizo literally same...and I just stayed up to finish one last night :-),2,5,0,
k8giannini,6,@anthonycmarquez this seemed very you ????,2,5,0,
_nicolenaranjo,4,@ariiannnaa when are we going to hang out? ???? Remember the first time you took me out and we went to boiling crab?,1,3,2,
paja_thao,11,@arshsahota12 you'll have bigger problems my dear Arsh. Lol ????????????,3,2,2,
scoopofscorpio,10,@asdfcarrie from Rende? ????,0,0,0,
scoopofscorpio,6,@asdfcarrie YOU GOT THIS!,1,3,3,
_nicolenaranjo,11,@ashlizarraga but your bae will be there soon &lt;3,1,4,2,
_nicolenaranjo,9,@ashlizarraga Y itz Qt?,0,0,0,
rickyterriquez,8,@AshweeSpencer thanks b,1,3,2,
_nicolenaranjo,3,@astriddd42 no wonder it has been hot af.,0,0,0,
francapark,10,@AvaMousavi  https://t.co/HqtahauW5p,0,0,0,
theaaliyahsade,8,@avicaakes https://t.co/13UrL5omv5,0,0,0,
daisyarriaga1,2,@azelhh @_Maarriissooll for sure!!! it working with kids and teaching them how to read and write,2,5,0,
daisyarriaga1,2,@azelhh Hazzelll!!:) I'm listening to music for one of my classes,1,4,2,
_nicolenaranjo,12,@b_troop NO,2,5,0,
devyneverts,10,@baciouslewi @annika_m__ @claire_tami my cute little babies ????,1,4,2,
_nicolenaranjo,5,@bellaaaooo come outside lol,1,4,2,
_nicolenaranjo,4,@bellaaaooo come to my room puta ????????????,2,5,0,
_nicolenaranjo,11,@bellaaaooo fam that is so far!,3,2,2,
_nicolenaranjo,11,@bellaaaooo RFT lol,0,0,0,
_nicolenaranjo,4,@bellaaaooo where are you?,3,2,2,
scoopofscorpio,9,@bianca_loveless /ugly scream/ ????????,0,0,0,
rickyterriquez,7,@Breanna_Kattt Happy Birthday Killa ???\xae????,1,3,2,
theaaliyahsade,8,@bueno_steph @AreJayGeez @DavidGudiel @ayeerinn omg&lt;3,0,0,0,
theaaliyahsade,4,@bueno_steph side smile,2,5,0,
pppnguyener,2,@caseywong29 get better Casey! ????????,1,3,2,
rickyterriquez,7,@CelinaKemm Thank you so much \x9f????\x8f????,1,3,3,
scoopofscorpio,11,@chelsdabells a multipurpose gif at its finest,1,4,2,
scoopofscorpio,11,@chelsdabells lordt,0,0,0,
rickyterriquez,6,@christine_park8 ily bae,0,0,0,
rickyterriquez,5,@christine_park8 this some bullshit,3,1,2,
daisyarriaga1,10,@CindyyLuu_ aww miss you too! we should go to the snow this year us and u guys,1,3,2,
daisyarriaga1,10,@CindyyLuu_ aww miss you too! we should go to the snow this year us and u guys,1,3,2,
devyneverts,10,@cjgaeckle32 @Brockolli_1 better be ????,0,0,0,
theaaliyahsade,8,@COMPLEXFEATURES &lt;3 &lt;3 &lt;3,0,0,0,
rickyterriquez,7,@daaannieel16_ thank you so much \x9f????\x8f\x9f????\x8f,1,3,3,
_nicolenaranjo,10,@daisyarriaga1 *when,0,0,0,
theaaliyahsade,8,@DavidGudiel i didn\'t watch the whole thing\t but wow im disgusted,3,1,2,
theaaliyahsade,8,@DavidGudiel lost ho,0,0,0,
theaaliyahsade,4,@DavidGudiel no\t but i should,0,0,0,
theaaliyahsade,8,@DavidGudiel smh,0,0,0,
_nicolenaranjo,3,@DeeReneeDenise lub u #sometimez,0,0,0,
k8giannini,4,@dgoods22 no one can breach the wall of fangirls\t it\'s too dangerous,1,4,2,
macklork,10,@dianaatran yes,0,0,0,
theaaliyahsade,8,@dmxgrowl hair moisturizer ;),0,0,0,
theaaliyahsade,8,@dmxgrowl i have some issues,3,2,2,
Shea_bertolucci,5,@DreuxBertolucci @kkarp11,0,0,0,
Shea_bertolucci,0,@DreuxBertolucci me first though,0,0,0,
_nicolenaranjo,10,@eddneddyy #gettingmethroughweek10 lol,1,4,2,
_nicolenaranjo,9,@eddneddyy let me have it lmao,1,4,2,
_nicolenaranjo,10,@eddneddyy lmao poor Eddie (:(,1,4,2,
_nicolenaranjo,10,@eddneddyy then everyone just stares @ you n you think you are done coughing but really you ain't lol #beenthere,0,0,0,
_nicolenaranjo,10,@eddneddyy when your qb is an actual freshman #UCLA probz,1,3,2,
_nicolenaranjo,9,@eddneddyy yay! I needed a new rag! lol,1,4,2,
macklork,10,@elana_delrey also all these photos are from like sophomore year lol oops,2,5,0,
sgbrandonn,1,@fancyfred01 im going to drop them in the toilet in a bit ha,2,5,0,
scoopofscorpio,11,@Feauxho I'm deleting,2,5,0,
daisiessyrup,11,@FlipCupFreddy wow I feel honored lmao,1,3,2,
francapark,10,@francapark ....again,0,0,0,
francapark,8,@francapark I'm going to skin myself,0,0,0,
theaaliyahsade,8,@godTAMn i dont have skype on this computer and IDK HOW TOUSE GOOGLE +,2,5,1,
scoopofscorpio,7,@gracedagreat @itsbizkit @cthagod ????????????????,0,0,0,
theaaliyahsade,3,@gracedagreat u inspire me\t i motivate you\t we r perfect for eachother,1,3,2,
nancyh_22,2,@gxvl_  esta feo,0,0,0,
nancyh_22,7,@gxvl_ I miss you too,1,3,2,
nancyh_22,3,@gxvl_ me too. Christmas present for me,1,4,2,
nancyh_22,2,@gxvl_ no guey,0,0,0,
Shea_bertolucci,3,@haailey_3 oh stop ????,0,0,0,
francapark,2,@hanbrewington17  @ them,0,0,0,
francapark,0,@hanbrewington17 say NO to bullying,2,5,0,
francapark,0,@hanbrewington17 that\'s why you don\'t do those things with boys\t Hannah.,0,0,0,
francapark,8,@hanbrewington17 u,0,0,0,
macklork,2,@hannlev and scandal lol,0,0,0,
theaaliyahsade,8,@Hayattyaaaaas like I watched this like 6 times,2,5,0,
theaaliyahsade,5,@Hayattyaaaaas partycity get a pink wig for like 3 dollars,1,4,2,
theaaliyahsade,5,@Hayattyaaaaas YOURE SO CUTE OMG MASHAALLAH,1,3,3,
francapark,2,@hellakiara LMAO YES u should've said hi,1,4,2,
francapark,10,@hellakiara they need to leave me alone,2,5,0,
francapark,7,@hellakiara TRUE Now I have to decide if I want to miss class or not,2,5,0,
_nicolenaranjo,12,@henryfelix96 no somebody who had an anti-islamic agenda could have written that,2,5,2,
angelaa_trannn,2,@hinnybear Thanks you piece of ????,0,0,2,
theaaliyahsade,2,@hodanamazin @Mo_Hass24 i will. i will bc THAT isn\'t the point\t it\'s the idea of ppl questioning the legitimacy of cultural appropiation,2,5,0,
theaaliyahsade,2,@hodanamazin no i didn't.,2,5,0,
nancyh_22,11,@IbeSosa23 ya duermete lol,2,5,2,
theaaliyahsade,3,@IsaacPatronus haha you could literally do anything from neuroscience to physiology to biology to mimg\t it\'s all the same,2,5,0,
theaaliyahsade,3,@IsaacPatronus I think I might take it next quarter in that case !!!,2,5,0,
Lilly_vujacic,5,@JacquelineBaca9 thanks ????????,1,3,2,
Lilly_vujacic,11,@JacquelineBaca9 Thanks boo,1,3,2,
theaaliyahsade,7,@jasonhibono @YouTube hahah help\t do you have any pointers?,2,5,0,
_nicolenaranjo,3,@jenniferyeji doesn't miss me ????,2,5,0,
Lilly_vujacic,4,@jenniferyeji Negativity? I only bring positivity to this dorm lol,1,4,2,
Lilly_vujacic,4,@jenniferyeji Negativity? I only bring positivity to this dorm lol,1,4,2,
nancyh_22,7,@jenniferyeji si,0,0,0,
Lilly_vujacic,4,@jenniferyeji umm go back to doing your hw,1,4,2,
_nicolenaranjo,11,@jovanalizzet_ you already know!!!,1,4,3,
francapark,8,@jrhsierra ????????????,0,0,0,
rickyterriquez,5,@jzyroyal ????????,0,0,0,
_nicolenaranjo,11,@K__Dawggg maybe...lol how is your week?,2,5,2,
Lilly_vujacic,10,@k00lmom lol we deserve it tho\t we busted our asses last minute trying to finish that essay lol,1,4,2,
k8giannini,5,@k8giannini wait class was canceled!!!!,1,4,3,
rickyterriquez,7,@KaitlynCarrera thank you ???? love and miss you too \x9f\x9d???\x8f,1,3,2,
theaaliyahsade,2,@Katelynnxxoxo yes,0,0,0,
francapark,5,@kend_fitzgerald  https://t.co/CyNEljCAFE,0,0,0,
theaaliyahsade,8,@King_1904 school is the only way out\t keep ya head up,1,4,2,
theaaliyahsade,8,@King_1904 wow,0,0,2,
theaaliyahsade,3,@kitherrr lmaooooo\t y is he so condescending bruhhh\t this is not psychology of the hood\t ITS SOCIOLOGY,3,1,2,
theaaliyahsade,4,@kitherrr no u aint fam,3,1,2,
francapark,6,@kitherrr oh lmao ya I live there,1,4,2,
francapark,6,@KosherThunder noooo lol,0,0,0,
theaaliyahsade,9,@kowtharhussein I HOPE YOU HAD THE BEST TURKEY DAY,1,3,2,
francapark,6,@kristieholly I LOVE CHICAGO PD,1,4,3,
francapark,6,@kristieholly I WATCH IT ON https://t.co/pqk0wWHrZQ,1,4,2,
rickyterriquez,7,@lahiz_ Thank you bb???? see you next month ???\x8d,1,3,2,
nancyh_22,10,@Lilly_vujacic is sooooooo mean,3,2,2,
sgbrandonn,3,@Lilly_vujacic not really I got used to it after 20 mins lol,2,5,0,
nancyh_22,4,@Lilly_vujacic true,0,0,0,
francapark,12,@lilmelloyellow go to bed,0,0,0,
theaaliyahsade,8,@LittleThunsNaat how was it?!,2,5,0,
scoopofscorpio,11,@LoveliestNya ME ?????????????????????,0,0,0,
CHRISHTYCLAR,5,@Lynninsanityy he sounds perfect ???\x8d,0,0,0,
theaaliyahsade,9,@LynzieJetSetter hey can you message me back on facebook,2,5,0,
theaaliyahsade,8,@LynzieJetSetter perfect,0,0,0,
macklork,7,@macklork @LAdelstein it didn't tag u lol LOVE YA,1,4,2,
macklork,9,@macklork and yes I made a Facebook for my dog when I was 11 now you all know,3,2,2,
Shea_bertolucci,3,@maddyfarrar epic photo bomb. Miss you \x9f\x9d???\x8f,1,4,2,
macklork,2,@melodoubled I JUST FINISHED ITS SO GOOD IM GONNA DIE,1,4,3,
Shea_bertolucci,3,@mikennacorry I freakin love you so much \x9f\x9d???\x8f,1,4,2,
Shea_bertolucci,1,@mikennacorry TUXXXXXX,0,0,0,
theaaliyahsade,2,@Mo_Hass24 @renadawaaad what?,0,0,0,
theaaliyahsade,2,@Mo_Hass24 All most populations have left is their culture;we can never experience someone's struggle so we shouldn't be able to take it off,2,5,2,
rickyterriquez,7,@mojolicious_ THANK YOU MOJO ???? miss you too!,1,3,3,
daisyarriaga1,6,@mommaajayy hold it she is back?? no way i have only missed 2 episodes !!! no way,1,4,2,
daisyarriaga1,6,@mommaajayy shit i wish  i could watch but I'm working on 3 essays rn !! hate my life,3,2,2,
daisyarriaga1,6,@mommaajayy shit i wish  i could watch but I'm working on 3 essays rn !! hate my life,3,2,3,
_nicolenaranjo,1,@nancyh_22 !!!!!,0,0,0,
sgbrandonn,3,@nancyh_22 at what time lol,0,0,0,
sgbrandonn,9,@nancyh_22 fuck... and all my lecture notes got erased,3,2,3,
Lilly_vujacic,10,@Nataliaaa_12 thanks boo hope finals are a breeze for you \x9f??????love you ????????,1,3,2,
rickyterriquez,7,@NavyyBoyy thank you \x9f????\x8f????,1,3,2,
francapark,9,@nickelohdeon it looks like they got their shit from the homecoming section of Macy's,1,4,2,
francapark,5,@nickelohdeon OMG,0,0,2,
francapark,4,@nickelohdeon WHO AM I,0,0,2,
francapark,9,@NoahCasey hey,0,0,0,
scoopofscorpio,11,@ohhsesha  https://t.co/7m4OkKtnzv,0,0,0,
scoopofscorpio,11,@ohhsesha I am aware. Still relevant to you tho \x9f????\x8f,2,5,0,
scoopofscorpio,5,@ohhsesha I'm gonna run up on KB tmrw after class tbh,2,5,0,
scoopofscorpio,5,@ohhsesha imma try not to seem upset\t but I\'m angered by this,3,2,2,
francapark,2,@okayalli @stephanie_annk @Tanyaduuh me too !,0,0,0,
francapark,4,@okayalli I DID,1,4,2,
francapark,3,@okayalli love u smile,1,4,2,
lauraa_x16,5,@paolaisabunny 6/10,0,0,0,
pppnguyener,1,@penelizabeth same ????,0,0,0,
daisiessyrup,10,@Pouyalilpou describe ur upcoming album in one word,0,0,0,
angelaa_trannn,2,@pppnguyener THANK YOU! ???\x81???? I'm excited to see what the rest of the year has plan for us ???\x8d??\x8f\xaa,1,4,2,
francapark,8,@RachelFergusoon HAPPY BIRTHDAY I miss u so much I hope u have a happy happy day,1,4,2,
rickyterriquez,7,@RafaKnows Thank you! \x9f????\x8f??\x90?????,1,3,2,
rickyterriquez,7,@RafaKnows Thank you! \x9f????\x8f??\x90?????,1,3,2,
scoopofscorpio,6,@RamiroRamiroa14 ???\xa3,0,0,0,
scoopofscorpio,8,@RamiroRamiroa14 This is in LA....,0,0,0,
angelaa_trannn,2,@rann_the_man LOL I guess so ????,1,4,2,
angelaa_trannn,5,@rann_the_man Yeah I ammm ????,0,0,0,
lauraa_x16,0,@riceenthusiast how did you get that to happen??,2,5,0,
rickyterriquez,6,@rickyterriquez at least I hope it does,0,0,2,
rickyterriquez,3,@rickyterriquez update: he took me to a nice dinner and then we got ice cream at the Santa Monica pier and he paid for everything,1,3,2,
rickyterriquez,3,@rickyterriquez update: my professor loved this and wants me to expand on it,1,3,2,
scoopofscorpio,4,@Safiya_Hussein OK! I see you! ???\x8d???\x9d,0,0,0,
theaaliyahsade,4,@sailorsloppy LMAOOOO IM IN CLASS LIKE ALL DAY SMH,1,4,2,
theaaliyahsade,4,@sailorsloppy y u mad,1,3,2,
rickyterriquez,7,@sammygarcia90 thank you Ms. Secretitty \x9f????\x8f??????\x8f\xae,0,0,0,
rickyterriquez,7,@sammygarcia90 thank you Ms. Secretitty \x9f????\x8f??????\x8f\xae,1,3,2,
theaaliyahsade,3,@SaraDelReyyy OMG YOURE SO SWEET SARA THANKYOU\t I WISH I COULD BE AS HARDWORKING AS YOU SIS,1,3,3,
_nicolenaranjo,11,@SassyColdTree Yasss!!! Beth we have to hang out when you get back!!!!,1,4,3,
nancyh_22,9,@savioralias @Lilly_vujacic tu ponle los pinches corridos,0,0,0,
Lilly_vujacic,9,@savioralias @nancyh_22 jajaja pues que se aguante,0,0,0,
sgbrandonn,6,@savioralias best mechanism ever! works for everything,2,5,2,
Lilly_vujacic,9,@savioralias que haces w,0,0,0,
theaaliyahsade,2,@See_Say_92 craaazzzy,0,0,0,
nancyh_22,3,@sgbrandonn @Lilly_vujacic you don't need an eye patch anymore,0,0,0,
_nicolenaranjo,3,@sgbrandonn Ew.,0,0,0,
_nicolenaranjo,3,@sgbrandonn GTFO. DON'T TALK TO ME.,3,1,3,
Lilly_vujacic,3,@sgbrandonn Hahah nancy told me thats funny,1,4,2,
Lilly_vujacic,4,@sgbrandonn I am up,2,5,0,
paja_thao,12,@sgbrandonn my dog died???? lol jk hi,1,4,2,
Lilly_vujacic,11,@sgbrandonn Nancy said you fucked her over lol,1,4,2,
_nicolenaranjo,5,@sgbrandonn no,0,0,0,
_nicolenaranjo,3,@sgbrandonn stfu your mom brought you contact lenses #beblessed,1,3,2,
nancyh_22,7,@sgbrandonn yessss lol,1,4,2,
_nicolenaranjo,3,@sgbrandonn you have snake eye cause you snake af ??\x90\x8d,2,5,0,
rickyterriquez,12,@ShannonLKakuk I love u,1,3,2,
rickyterriquez,4,@ShannonLKakuk I love you b \x9f\x9d???\x8f,1,3,3,
paja_thao,7,@Sheaaaalee they're savages????,2,5,2,
theaaliyahsade,8,@sher_shenk so bomb,3,2,2,
francapark,7,@sighkt THIS IS SO FUNNY,1,4,2,
scoopofscorpio,5,@Sophias_wisdom aw thanks haha\t and I am\t just feeling stressed bc of midterms\t how\'s senior year? ???\x81????,1,3,3,
francapark,8,@stephanie_annk [?],0,0,0,
francapark,9,@stephanie_annk champagne papi,0,0,0,
francapark,6,@stephanie_annk chocolate,0,0,0,
francapark,9,@stephanie_annk FUCKCKKXKX,3,2,2,
francapark,12,@stephanie_annk this is like the time when u walked by Joan rivers and then she passed away the following week,2,5,0,
francapark,5,@stephanie_annk U CAN DO IT,1,3,2,
francapark,3,@stilltrevor me too lets go,1,4,2,
francapark,0,@stilltrevor omg ???\x8d????????,0,0,0,
ChristyLovee_,10,@suank800 this guy insta is ??????\x8f? imxtana \t\t he\'s dope af,0,0,0,
macklork,2,@SuzieMarco send pic omg,2,5,0,
theaaliyahsade,2,@Takaitheartist !,0,0,0,
francapark,12,@Tanyaduuh come to DC !,1,3,2,
theaaliyahsade,2,@TaylorMadeThat i'm surprised you missed it :/,2,5,0,
theaaliyahsade,8,@theaaliyahsade @jjordannnnn,0,0,0,
theaaliyahsade,8,@TierraSmiles_ come over,2,5,2,
theaaliyahsade,4,@TierraSmiles_ omg ur awake asdfghjkl,1,4,2,
k8giannini,7,@UCLA #thehill https://t.co/fqqV7PgxAM,0,0,0,
angelaa_trannn,0,@UCLAVolunteer I hope to volunteer again next year! ????,1,4,2,
scoopofscorpio,11,@vivianaliar I support this ????,0,0,0,
theaaliyahsade,2,@vrkatat so if you have an understanding of history\t how can you deny the link between past exploitation and present day privilege?,2,5,0,
theaaliyahsade,2,@vrkatat the spread of rice is continued through these structures. we can\'t deny the implicit racism of the system\t this isn\'t appropiation,2,5,0,
scoopofscorpio,11,@WaitingOnDarius https://t.co/PBBOFI2v6R,0,0,0,
daisyarriaga1,3,@WestCoastGee  so we r both using humor i see !!!,1,4,3,
daisyarriaga1,1,@WestCoastGee hows Cal state la,0,0,0,
daisyarriaga1,3,@WestCoastGee lol that because there was !!!,1,4,2,
daisyarriaga1,1,@WestCoastGee ohh trust i do way harder than u lol,1,4,2,
daisyarriaga1,1,@WestCoastGee thanks!! lol,1,4,2,
daisyarriaga1,1,@WestCoastGee Thats so cool I miss David now!!!Well i made friends during the summer so i hang out with them.,1,3,2,
daisyarriaga1,1,@WestCoastGee thats's good!!! R u dorming on campus?,1,4,2,
theaaliyahsade,4,@whostru_ ur (tru)ly amazing,1,3,3,
theaaliyahsade,4,@xandriaaj everybody is going,1,4,2,
daisyarriaga1,8,@xmyy_ miss u  too????,1,3,2,
francapark,1,@yanateix happy birthday beautiful lady I hope it's everything you wished for! ????,1,3,2,
devyneverts,1,*Gets Bronchitis the first 2 weeks of college*,3,2,2,
scoopofscorpio,3,*prays to stop being so petty*,0,0,2,
rickyterriquez,5,\x9f????\x8f\x9f????\x8f???? I'm still sad we didn't run into each other at Disney :(,3,2,2,
francapark,1,#blockheadsla,0,0,0,
VintedAlyssa,0,#BRUINBASH 2015 ! http://t.co/vVLgUMkgNA,1,4,2,
scoopofscorpio,8,#FlogGnaw https://t.co/tgrBzmpD9L,0,0,0,
Shea_bertolucci,3,#MajorBlast ???????? http://t.co/5rwh4LWEWz,0,0,0,
scoopofscorpio,9,#notevensurprised  https://t.co/IGfHD5nPaZ,0,0,0,
daisyarriaga1,5,#Selena is life,0,0,0,
piwrightonline,2,#thirdtweet,0,0,0,
sgbrandonn,2,#UCLAStudents stand with #LAStreetVendors. #LegalizeStreetVending All Over #LA. Will You? @CurrenDPriceJr @josehuizar @elaccOrg,1,4,2,
VintedAlyssa,1,#uclaVSasu come on guys get your shit together .,3,1,2,
Lilly_vujacic,10,#Week10 ???????? https://t.co/rF9cSoYifB,0,0,0,
scoopofscorpio,6,1 more week ??????\x8f? https://t.co/EqQsat3UAv,1,4,2,
_nicolenaranjo,3,12 year olds these days look 25!!!,1,4,2,
sgbrandonn,6,15 minutes early to class... 15 minutes that I could've spend sleeping,3,2,2,
NYokubaitis,9,29 days til Christmas,1,4,2,
evelyn_fierro,10,40 hrs without any sleep or rest. Finals week soon to start ???? ????????,3,2,2,
theaaliyahsade,2,5.WE WANT EDUCATION THAT TEACHES US OUR TRUE HISTORY AND OUR ROLE IN THE PRESENT-DAY SOCIETY. (cough* AEP* cough),0,0,0,
scoopofscorpio,6,6 more hours and I can finally register to vote!,1,4,2,
_nicolenaranjo,2,A girl in my English class just so happen to be in the racist sorority on campus. I learned this after I read her essay about minimum wage.,3,1,1,
theaaliyahsade,3,a huge # of Bruins felt deeply disrespected instead of made to feel at home \x9f?? during Black Bruin Welcome Week. http://t.co/NGikjE9zal,0,0,0,
_nicolenaranjo,3,a lot of people hated me in high school now that I think about it lmao,1,4,2,
_nicolenaranjo,0,A nap sound good but a double double sounds better! #hungry,3,2,2,
ChristyLovee_,2,A paper due and math hw ????,3,2,2,
sgbrandonn,10,A tear came out of my eye when I set an alarm for 6:30am,3,2,2,
theaaliyahsade,6,a wise man understands not every battle is a war,2,5,0,
taytay_shanay,12,"a woman just walked past me with a shirt that said ""may your tequila be strong and your weekend be long"" i feel blessed",1,3,2,
theaaliyahsade,1,Afrikan Diaspora floor doing me riiiiight,2,5,0,
theaaliyahsade,8,AHH I CANT WAIT TO SEE KENIYAH NEXT WEEK,1,4,3,
sgbrandonn,8,ALEKS is testing my patience,3,2,2,
_nicolenaranjo,11,All at once I thought I had it all but\t it doesn\'t mean anything now that you are gone.,3,2,2,
theaaliyahsade,2,all praise due to the most high,2,5,0,
daisyarriaga1,2,"all the ""myths"" of periods are true ",2,5,0,
AndrewKnapp13,10,All the free shirts https://t.co/btaIRo3Q0j,2,5,0,
daisyarriaga1,4,all these school kids are so excited to throw pennies in the fountain,2,5,2,
KAISERxDRAGON,3,Almost busted the back of my heel open lol. Stupid scooter. XD,1,4,2,
Lilly_vujacic,3,Almost done with this stupid essay,3,2,2,
lifewarrior94,0,Almost every successful person begins with 2 beliefs: the future can be better than the present\t and I have the power to make it so.,1,3,2,
theaaliyahsade,9,also stop cussing,3,1,2,
scoopofscorpio,9,Also\t more investment in finding time to hang out with people\t not because they are available\t but because we connect \x9f????\x8f,1,3,2,
scoopofscorpio,3,always feels good to be off campus ????,1,4,2,
francapark,1,Am now the publicity chair of my floor #R3SLYFE #swag!!!!!!!,1,4,2,
theaaliyahsade,3,AMEN https://t.co/QRaIW7K22e,0,0,0,
Lilly_vujacic,4,Amen to that https://t.co/n94d5axwAY,0,0,0,
theaaliyahsade,3,AMEN! https://t.co/UYl5lg0rBT,0,0,2,
theaaliyahsade,3,AMEN! https://t.co/UYl5lg0rBT,0,0,0,
macklork,5,An important realization https://t.co/sY3av3LToN,0,0,0,
